43.5	36	42	44.5	42	38.5	51.5	39	45.5	39	51	36.5	39	31.5	39.5	205.5	46	39.5	52.5	39.5	41	34.5	44	144.5	53	118	32.5	41.5	50.5	47.5	114	36	50.5	39.5	40.5	40	32.5	131.5	48	49	37.5	41	39.5	38.5	37.5	-1	43	41.5	37	42.5
57.5	42	54.5	56.5	52	46.5	62.5	51	58	51.5	63	43.5	45.5	41.5	41.5	216	58.5	40.5	55.5	45	47.5	46	55.5	157.5	64.5	121.5	43.5	43.5	60.5	58	124.5	48	62	40	53.5	53.5	34	143	58	59.5	41.5	51	44.5	47.5	47	42	55.5	48.5	38	57
78	47.5	66.5	70	63.5	60.5	74.5	52	69.5	63	73	53	54	54.5	55	231.5	70.5	56	-1	55.5	53.5	58.5	66.5	158	74.5	141	54.5	52.5	65	70.5	136	58.5	72.5	-1	64	69	43	160	60.5	70	52.5	63	55	50	60	55.5	67	59	51	69
126.5	66	78	84.5	73.5	75	95	62	83.5	77	86.5	58.5	59.5	60.5	61.5	244	86.5	59.5	67.5	60.5	64.5	65	67.5	175	89.5	143.5	68	56	70.5	86	149.5	68.5	85	56	76.5	81.5	54	172	70.5	80	55.5	75	64	61	61	56	84	65.5	52.5	86.5
143	91	83.5	99	84.5	76	116	63.5	95.5	89.5	98.5	64	72	66	68	271.5	91	70.5	77.5	68.5	74	75.5	79.5	175.5	107.5	-1	90.5	67	76	100	164.5	83.5	96.5	67.5	89.5	96.5	67	186.5	71.5	91	66.5	93	74	64.5	70.5	66.5	94	70	67.5	100
161	234.5	102	114	90.5	87	134	75.5	107	103.5	116	69.5	78.5	73.5	80.5	290.5	102.5	82.5	78	72	78.5	81	90.5	191.5	123	160.5	101.5	73.5	81	112	181.5	108.5	136.5	70.5	103	116.5	89	198.5	81	104.5	78.5	135	77	73	72	67.5	96.5	86	79.5	105
174	281	104.5	131	101.5	99	174.5	86	123	117.5	138	74	87	77.5	81.5	298	106.5	97.5	90	84	93.5	90.5	99	193	143	176	120	80	91.5	125	201	145	139	78.5	104.5	137	106	215.5	82.5	119	97	136.5	85	82	84.5	78.5	109.5	91	92.5	111
190	283.5	116.5	149.5	102	112.5	182	90	137	131	155	86	93	86.5	97.5	308.5	116	99	96	92	105.5	97	107	211.5	-1	176.5	140.5	95.5	93	138	202	180.5	155	90.5	120	160.5	111.5	232	93.5	134.5	101	150.5	88.5	91.5	91.5	79	111.5	104	98	119
206	293.5	121	164	121	116	185.5	103	153.5	148	161	86.5	132.5	89.5	99.5	317	118	120.5	104.5	97.5	114	108.5	110.5	213	165	188.5	160	109.5	-1	141	215	230	164	92.5	122.5	203.5	121	251.5	95	152	110	154.5	102.5	94	95.5	90	129.5	108	108.5	136
219.5	296	141.5	177.5	122	126.5	196	117.5	169.5	164	169	99	133	101.5	108.5	336	127.5	123.5	111.5	112	135.5	111	118	226.5	182.5	194.5	167	130.5	109	-1	242.5	240.5	172.5	103	131	207	131.5	266	104.5	168.5	112.5	163	106.5	103	103	94	132	118.5	114	137
